person_id,call_count_with_suspects,night_movements_hours,gps_zone_visits,encrypted_app_usage_hours,social_media_threat_score,vpn_usage,device_changes_last_30_days,suspicious_contacts_count,avg_call_duration_min,microphone_activation_events,camera_activation_events,account_login_failures,location_change_frequency,suspicious,last_activity_time,related_person_ids,military_zone_proximity_score
1,4,2.3671283190533625,3,0.32078213160803126,0.2555311724645274,1,0,0,4.237585164395383,1,1,0,0.46350932371383646,0,2025-05-22 20:06:46.134045,"9565,9169,7636",2.547690368514381
2,1,1.512271980960739,2,0.9349791420250868,0.3618186649072821,1,1,0,2.6435350025370092,1,1,3,0.0,0,2025-06-02 15:12:46.134045,"6616,6323,7198,7384",4.411214817885321
3,3,2.030323871849972,5,2.792403501657926,0.757723015204918,0,0,2,4.352083566400234,2,1,0,0.7931245640029032,0,2025-05-20 06:16:46.134045,4351,1.1574169037229165
4,3,2.31727494026409,6,0.9202930871663377,0.08227329214048806,0,1,1,5.23150390533427,0,3,4,1.4115139437931146,0,2025-05-25 23:30:46.134045,"333,1827,3697,892,1371",2.0524146820445157
5,2,3.241907530654725,6,0.6141689532151644,0.8250705509981526,0,0,4,2.0469535912024552,1,3,3,1.6326367991181834,1,2025-05-13 22:47:46.134045,6374,3.6477064351507704
6,3,2.7865706433899993,0,2.0277321625756577,0.7202788184161599,0,0,5,3.9007211352035913,0,0,0,1.0772358103848918,0,2025-05-28 09:33:46.134045,"1908,407,6621,8779,7299",2.614397558291264
7,2,1.3189903272260297,4,1.5753222101047473,0.5497641407563197,0,0,3,2.58846051243368,3,0,4,1.0224957392338305,0,2025-05-13 02:29:46.134045,"632,5101",3.4007188018642602
8,3,0.854977762242443,2,5.1960941185992535,0.2094787943226969,0,1,1,4.769021104749562,1,0,3,0.36932015664720763,0,2025-05-30 06:36:46.134045,"1716,3950",1.3182076320600626
9,0,3.7073811047544476,0,1.1952968414694587,0.09267856116679873,0,1,2,3.0824826026677403,0,2,4,1.1081658720724874,0,2025-05-24 02:36:46.134045,"2241,8463",2.097989059831777
10,2,0.4173403280256551,0,5.138489844041306,0.23171910866390433,0,0,4,5.294966354841334,2,1,3,0.8197684962110412,1,2025-05-16 15:57:46.134045,5111,4.4987395777353045
11,4,1.547497152308949,1,0.5157148914068231,0.7614952393082074,0,1,3,6.74249443328848,2,0,4,0.4083691755516664,0,2025-05-17 15:58:46.134045,6156,1.8001185851750587
12,2,2.645244820322117,9,3.001768247980501,0.9334946190299817,1,1,3,1.823556133405651,1,2,2,1.3962609351288942,1,2025-06-03 16:18:46.134045,"3528,6054,1374,2088,7404",6.569956308379693
13,1,3.638761246950032,7,0.6483108577621812,0.737888191841617,0,4,2,3.50843537139359,2,1,4,0.2207745491092682,1,2025-05-29 09:13:46.134045,400,4.221464895118856
14,3,1.810338474875805,3,2.48853906367457,0.5276170217278547,1,1,0,4.8291189324666925,1,2,2,1.2428694156041429,0,2025-05-10 11:04:46.134045,"9087,1862,243,2151,9340",2.1775618994265007
15,4,2.0273429942708936,9,3.9052552606571145,0.9506827373373291,1,1,1,2.73128122401962,1,1,0,1.5897023034839979,1,2025-05-12 12:13:46.134045,"8582,6533,5221,1189",5.3443671941930315
16,4,1.1249725784025748,2,1.464025613384241,0.8285673393728552,0,3,3,3.9863293949843635,0,0,0,0.4815313646119631,0,2025-05-11 07:32:46.134045,"6159,671,753,7859,4751",1.6767593428824066
17,1,2.1266161121352045,7,1.9559609367590114,0.6558373208754616,0,1,2,2.4505512554280378,0,1,3,0.6877208648959491,0,2025-06-06 04:09:46.134045,"2020,7281",2.9771372866161756
18,2,0.8498460206991205,1,4.77815062654706,0.03790469721635292,1,0,0,0.686833701136301,2,1,1,1.2350807502643046,0,2025-05-16 19:36:46.134045,"2332,206,2106",2.134713218399149
19,3,1.2497150467813471,8,0.7053810014266407,0.28773350812184706,0,0,3,4.126101004239807,1,3,0,0.6495731232301352,0,2025-05-17 08:48:46.134045,"5300,629,6505,7275",1.640544635014529
20,2,2.763890554138481,3,1.0748808231170754,0.308210091365009,0,0,1,4.1473214752586856,1,1,3,1.3510453644712115,0,2025-05-11 07:47:46.134045,"6903,2412",1.8966514314641356
21,3,1.5664231831380742,8,3.4284728058690614,0.3472452627957221,1,1,1,1.828512731984889,1,0,2,1.3761385403285322,0,2025-05-22 07:11:46.134045,"8697,8335,6300,2137,2579",3.1337119728708753
22,4,2.91724892205307,0,1.675848390637393,0.3893856571022203,0,0,1,2.4893438089554953,1,3,2,0.7788891511160795,0,2025-05-14 19:46:46.134045,3357,0.8696604918369389
23,1,1.8464928733508894,4,3.1023501383445256,0.9393692721146227,0,1,0,2.7591000388023916,2,1,1,1.4514687927531322,0,2025-05-09 08:51:46.134045,6977,0.9786823829218217
24,3,0.6311599071291853,9,1.4445017074565492,0.7418724080993608,0,0,5,4.0632712096948405,0,0,2,1.2270905012259354,0,2025-05-21 16:00:46.134045,"2961,7405,1473",1.908655945352625
25,3,3.168365275711301,6,2.019065588286897,0.6919349870571638,0,0,3,4.507500367931245,1,1,3,0.6682214402002249,0,2025-06-04 22:41:46.134045,"3736,427,5144,681,5923",1.0695259855478212
26,3,0.6846739149481116,3,0.019722745461042118,0.42651495881173496,0,0,2,3.795380229572003,1,1,4,1.3822865498431331,0,2025-05-20 21:42:46.134045,"608,4391,2627,3804,8996",4.0106212476939795
27,5,1.3982124911393852,4,0.6225304630517303,0.3375496083014472,1,0,1,1.3722997060283377,1,1,3,0.9967412759197933,0,2025-06-05 07:49:46.134045,"366,8345,8791,980,6154",0.952248779758283
28,0,1.8003009180618568,8,2.207260405024757,0.1195781907752903,0,1,2,2.5661350028606886,0,0,3,1.2702332926894293,0,2025-05-13 18:47:46.134045,"2740,9618,6898",2.917381148154226
29,1,3.0058286206592073,5,0.7762919273241287,0.4534954735959158,0,0,2,2.7278607202596867,0,4,4,0.7822018394433184,0,2025-05-08 07:24:46.134045,2250,6.641291216593813
30,4,1.4735151773097566,5,0.6761175520532949,0.20534237547567202,1,0,3,2.6004478990501774,3,3,2,1.6394535453169006,1,2025-06-01 12:10:46.134045,"1535,4515,5050,9117",2.669814213747216
31,3,1.073282837529916,1,4.540903631862432,0.39101040374300944,1,0,4,4.472931161328804,2,1,0,1.073014568103976,1,2025-05-29 12:14:46.134045,"3018,3292,1444",1.5937097846135209
32,1,2.162673071560396,0,1.206280663259521,0.15639126052775354,0,0,2,4.976195960592461,4,0,3,1.017211129099587,0,2025-05-27 22:37:46.134045,8982,2.366782527444679
33,7,1.7860342767733808,3,0.3207036331812576,0.3439959102135133,0,0,3,4.471557736737049,0,0,0,2.1304499516010793,0,2025-05-12 19:32:46.134045,"1107,4454,2748,9105",1.9195589153041337
34,3,1.5326094009608389,9,0.9586326336730022,0.042979369923949684,0,1,5,5.123810693060122,0,2,3,1.1505826560371575,0,2025-05-13 17:56:46.134045,"6035,6332",5.265514484186761
35,4,2.2164853564878455,2,1.0968072399184527,0.006023200955492136,0,1,3,3.1196877508073575,1,1,1,1.3473460032399482,0,2025-05-20 16:40:46.134045,6258,2.4999181128550765
36,2,0.7964037846068679,6,6.7286339298703055,0.869909222881396,0,1,2,2.26957866367375,2,0,1,0.9389725641454406,1,2025-05-11 13:57:46.134045,"2004,6439",1.3847100216849706
37,1,0.27815945903431927,6,1.8999405274059904,0.6412641068917574,1,0,0,1.2830372954010985,1,1,2,0.910201927367269,0,2025-05-12 23:07:46.134045,5072,3.369603166376072
38,4,4.138730107268257,5,1.0990865832773045,0.5876666541328815,1,0,3,2.5628695366361147,2,0,3,0.21594424837897852,1,2025-05-26 00:32:46.134045,"942,9952,9445,3879",0.9295321046636807
39,4,2.1041860933615775,4,0.8484263918413575,0.5137940163279677,1,0,7,1.7955780374599357,1,1,3,1.5513938720394247,1,2025-05-23 11:04:46.134045,"9060,9869",2.134361448276077
40,1,2.1741808819622697,2,3.706416070452503,0.7267291772963663,0,1,2,5.773243773668693,1,3,3,1.3105557824857241,1,2025-05-21 02:00:46.134045,"3481,8062",2.7029096879190346
41,2,1.2180106193229223,3,1.557437892756809,0.7361656050283192,0,0,2,4.305053946990202,3,2,3,0.9384843860830466,0,2025-05-08 04:26:46.134045,"5099,9346",1.272589315363373
42,3,2.8976988434940107,4,0.6602869901639626,0.9352513679431235,0,1,1,1.6329392337045396,0,0,3,1.240226558092578,0,2025-06-03 20:33:46.134045,"2368,5571",4.150911199130797
43,5,1.4665147398541536,3,0.9371967872334306,0.24441050000085252,1,0,1,2.7461344610607172,1,0,4,1.314950032274137,0,2025-05-31 04:25:46.134045,"5752,2750,6269,984",4.120121380136327
44,5,0.0,2,0.4888544777492967,0.785198809868333,0,0,4,2.168772046768389,0,0,0,0.33752266693313726,0,2025-05-21 03:34:46.134045,"5711,8522,5036,4302,4092",3.81834735223911
45,3,1.4329666594913686,1,4.844476053753624,0.9911577402258037,0,1,3,2.063059834517654,1,1,3,0.9461162395997348,1,2025-06-03 21:54:46.134045,"9895,1567,7885,5743",1.246874505487133
46,2,1.71858692207555,4,1.8157162964898148,0.029021859530037775,1,1,3,2.4498493728895014,0,1,3,0.26904821761065123,0,2025-06-05 14:42:46.134045,"7850,2561,9688",1.3181764659526898
47,3,1.8299163956654874,1,0.7471066204633153,0.3739854257309839,0,0,2,2.520332688831025,2,1,2,1.5518693813838031,0,2025-05-28 08:13:46.134045,"5251,108,6517",3.3147873719046133
